id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
184380857,21f8bb5f-c52b-4d5c-8722-bd060aaa6747,2023-09-22 15:48:45+02:00,2023-09-22,2023-09-22 13:48:45 UTC,Rome,1656366,peterdenk,Peter Denk,2023-09-22 14:19:41 UTC,2025-04-04 17:03:16 UTC,research,,https://www.inaturalist.org/observations/184380857,https://static.inaturalist.org/photos/321841599/medium.jpg,,"","",1,0,false,3,"Altipiano Ovest, Triest, Friaul-Julisch Venetien, IT",45.6924133333,13.74752,8,,,,8,,,false,,,Italy,Baizongia pistaciae,Baizongia pistaciae,Pistacia Horn Gall Aphid,Insecta,488332
184558956,848fb9c0-c8ce-4757-b319-01f3ee32d8b2,2023-09-23 13:05:06,2023-09-23,2023-09-23 11:05:06 UTC,Rome,5554327,federico_biguzzi,Federico Biguzzi,2023-09-23 17:26:11 UTC,2024-12-22 10:24:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/184558956,https://inaturalist-open-data.s3.amazonaws.com/photos/322176559/medium.jpeg,,"",,1,0,false,2,"47042 Capannaguzzo FC, Italia",44.1773924046,12.3345870897,181,,,,181,,,false,,,Italy,Aploneura lentisci,Aploneura lentisci,Mealy Grass Root Aphid,Insecta,385939
184572420,cb79489e-c5c2-4604-8869-5717d99289d9,2023-09-23 16:50:00+02:00,2023-09-23,2023-09-23 14:50:00 UTC,Rome,7258785,gaialucia,gaialucia,2023-09-23 18:50:54 UTC,2023-09-25 12:02:19 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/184572420,https://inaturalist-open-data.s3.amazonaws.com/photos/322202594/medium.jpg,,"","",1,0,false,3,"Vicolo Montello, Bozzole, Piemonte, IT",45.0696016531,8.6095656364,133,,,,133,,,false,,,Italy,Macrosiphoniella,Macrosiphoniella,Anthemid Aphids,Insecta,376950
184684304,cb0a27db-8ff5-455e-acf8-56a8b57fbf8c,2023-09-22 14:51:55,2023-09-22,2023-09-22 12:51:55 UTC,Rome,2298749,gabriele_pradelli,Gabriele Pradelli,2023-09-24 13:15:40 UTC,2024-08-22 08:46:00 UTC,research,,https://www.inaturalist.org/observations/184684304,https://static.inaturalist.org/photos/322423118/medium.jpeg,,"",On *Populus nigra*'s leaf.,1,0,false,2,"Strabatenza, 47021 Bagno di Romagna FC, Italia",43.872347,11.881218,4,,,,4,,,false,,,Italy,Pemphigus spyrothecae,Pemphigus spyrothecae,Poplar Spiral Gall Aphid,Insecta,154678
185116941,be2c12cc-c3d6-46fa-a48d-9056b50b462c,2023/09/26 14:28,2023-09-26,2023-09-26 12:28:00 UTC,Rome,1437774,valentinabuono,Valentina,2023-09-27 08:42:39 UTC,2023-09-27 08:42:39 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/185116941,https://inaturalist-open-data.s3.amazonaws.com/photos/323250156/medium.jpeg,,"","",0,0,false,,"Ferrara, Emilia-Romagna, IT",44.7537817136,11.7676157531,122,,,,27285,obscured,,true,,,Italy,Afide Galligeno Maggiore Dell'olmo,Eriosoma lanuginosum,Elm Balloon-gall Aphid,Insecta,416160
185122217,71ee8141-e3fd-4d31-8402-dccd96237873,2023-09-26 16:21:54,2023-09-26,2023-09-26 14:21:54 UTC,Rome,4702108,giuliana43,Giuliana Mazzacuva,2023-09-27 10:18:27 UTC,2023-09-27 12:30:43 UTC,needs_id,"",https://www.inaturalist.org/observations/185122217,https://static.inaturalist.org/photos/323259839/medium.jpeg,,"",,0,0,false,2,Italy,38.0175871185,15.7143138429,11885,,,,28300,obscured,,true,gps,gps,Italy,Aphididae,Aphididae,Aphids,Insecta,52381
185151176,190c9c48-c16f-403f-8639-0428b7a2b3a9,2023-09-27 12:47:28,2023-09-27,2023-09-27 10:47:28 UTC,Rome,5493206,mircogruppi,"",2023-09-27 15:33:14 UTC,2024-12-22 14:36:54 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/185151176,https://inaturalist-open-data.s3.amazonaws.com/photos/323315148/medium.jpeg,,"",On Vitis x koberi,0,0,false,2,"40126 Bologna BO, Italia",44.4996861111,11.3532916667,,,,,,,,false,gps,gps,Italy,Afidi,Aphididae,Aphids,Insecta,52381
185241253,49fd5a57-8648-4128-9310-760debf3208a,2023/09/26 10:44 AM,2023-09-26,2023-09-26 08:44:00 UTC,Rome,1100647,lynkos,Sarah Gregg,2023-09-28 05:17:51 UTC,2025-08-17 15:29:19 UTC,needs_id,CC-BY-NC-SA,https://www.inaturalist.org/observations/185241253,https://inaturalist-open-data.s3.amazonaws.com/photos/323490905/medium.jpg,,"",On Quercus cerris.,1,0,false,,"Province of L'Aquila, Italy",42.11536664,13.34019619,10,,,,10,,,false,,"",Italy,Aphididae,Aphididae,Aphids,Insecta,52381
185557706,0db346c5-9027-442b-aa43-57d6f20cbadd,2023-09-30 14:25:02,2023-09-30,2023-09-30 12:25:02 UTC,Rome,7458967,aurora1297,aurora giuliani,2023-09-30 12:26:30 UTC,2023-09-30 12:26:36 UTC,needs_id,,https://www.inaturalist.org/observations/185557706,https://static.inaturalist.org/photos/324092109/medium.jpeg,,"",,0,0,false,2,"38030 Ziano di Fiemme TN, Italia",46.29006,11.5786266667,10,,,,10,,,false,,,Italy,Anoecia,Anoecia,,Insecta,418141
185612170,4bb8697a-b4ea-4bb9-b17e-5c9237de5f95,2023-09-30,2023-09-30,,Rome,2750003,dariop9167,Dario Pozzan,2023-09-30 18:48:46 UTC,2023-09-30 18:48:50 UTC,needs_id,,https://www.inaturalist.org/observations/185612170,https://static.inaturalist.org/photos/324192776/medium.jpeg,,"",,0,0,false,2,"10066 Torre Pellice TO, Italia",44.8158045921,7.2238513827,184,,,,184,,,false,gps,gps,Italy,Anthemid Aphids,Macrosiphoniella,Anthemid Aphids,Insecta,376950
