id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
184224653,c333f701-b8b6-4cba-8043-15e5cb4ab6bf,2023/09/21 07:55,2023-09-21,2023-09-21 05:55:00 UTC,Rome,6858810,astroale,"",2023-09-21 06:30:55 UTC,2023-10-05 03:19:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/184224653,https://inaturalist-open-data.s3.amazonaws.com/photos/321546245/medium.jpg,,"",,2,0,false,,"Cornigliano, 16152 Genova GE, Italia",44.4254636113,8.8624645674,8,,,,8,,,false,,,Italy,Elicoverpa,Helicoverpa armigera,Cotton Bollworm Moth,Insecta,83806
184243096,9326b782-4115-4539-b813-f498949e29f6,2023/09/21 03:21,2023-09-21,2023-09-21 01:21:00 UTC,Rome,1609913,giuseppe_molinari,Giuseppe Molinari,2023-09-21 11:40:58 UTC,2023-09-22 08:25:53 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/184243096,https://inaturalist-open-data.s3.amazonaws.com/photos/321579238/medium.jpg,,"",,1,0,false,,"Provincia di Pesaro e Urbino, Italia",43.6169036397,12.2244715418,2,,,,2,,,false,,,Italy,Elicoverpa,Helicoverpa armigera,Cotton Bollworm Moth,Insecta,83806
184300115,bc992e50-993d-4847-af38-ff990fd3ed5a,2023-09-21 20:59:19+02:00,2023-09-21,2023-09-21 18:59:19 UTC,Rome,4100031,fabio286,Fabio Cianchi,2023-09-21 19:18:33 UTC,2023-09-22 10:43:41 UTC,research,,https://www.inaturalist.org/observations/184300115,https://static.inaturalist.org/photos/321719857/medium.jpg,,"","",1,0,false,3,"Dispensa, Manciano, Toscana, IT",42.534755,11.3411083333,6,,,,6,,,false,,,Italy,Elicoverpa,Helicoverpa armigera,Cotton Bollworm Moth,Insecta,83806
184306079,2bba21fc-b470-483b-abf3-55beedb4703a,2023-09-21 21:56:20,2023-09-21,2023-09-21 19:56:20 UTC,Rome,5402374,emabus7,Emanuela Busco,2023-09-21 20:02:20 UTC,2023-11-13 13:05:52 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/184306079,https://inaturalist-open-data.s3.amazonaws.com/photos/321695457/medium.jpeg,,"",,2,0,false,2,"19016 Monterosso al Mare SP, Italia",44.146974672,9.6552956477,485,,,,485,,,false,gps,gps,Italy,Elicoverpa,Helicoverpa armigera,Cotton Bollworm Moth,Insecta,83806
184316398,f4085bee-0b25-4dd4-ab83-91ad9e5d09fe,2023-09-21 23:22:15,2023-09-21,2023-09-21 21:22:15 UTC,Rome,392309,bac_77,Marco Crivellari,2023-09-21 21:24:26 UTC,2023-09-22 10:00:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/184316398,https://inaturalist-open-data.s3.amazonaws.com/photos/321715611/medium.jpeg,,"",,1,0,false,2,"44026 Mesola FE, Italia",44.9040662417,12.2632872098,93,,,,93,,,false,gps,gps,Italy,Cotton Bollworm Moth,Helicoverpa armigera,Cotton Bollworm Moth,Insecta,83806
184382541,1afb5dc5-5ca8-4826-aa20-e98ea2544725,2023-09-22 16:23:24,2023-09-22,2023-09-22 14:23:24 UTC,Rome,4843491,matilde_27,matilde,2023-09-22 14:32:51 UTC,2023-09-24 22:17:32 UTC,research,,https://www.inaturalist.org/observations/184382541,https://static.inaturalist.org/photos/321844771/medium.jpeg,,"",,1,0,false,2,"Trento, Trentino-Alto Adige, IT",45.9182309072,10.8696527034,17,,,,17,,,false,gps,gps,Italy,Cotton Bollworm Moth,Helicoverpa armigera,Cotton Bollworm Moth,Insecta,83806
184435666,f523852e-959a-41a1-88ad-09feebefaf1f,2023-09-22 22:33:33,2023-09-22,2023-09-22 20:33:33 UTC,Rome,4346046,moondragonitaly,Moondragon,2023-09-22 20:47:08 UTC,2023-09-22 22:51:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/184435666,https://inaturalist-open-data.s3.amazonaws.com/photos/321941564/medium.jpeg,,"",,1,0,false,2,"127, 06060 Borgarucci PG, Italy",43.0255102141,12.0774168894,4,,,,4,,,false,gps,gps,Italy,Cotton Bollworm Moth,Helicoverpa armigera,Cotton Bollworm Moth,Insecta,83806
184437044,6923cfbb-fda3-45b1-ad2a-3dc4cc1f4a52,2023-09-22 22:53:16,2023-09-22,2023-09-22 20:53:16 UTC,Rome,1729134,jerryxicho,"",2023-09-22 20:57:52 UTC,2023-10-11 18:26:53 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/184437044,https://inaturalist-open-data.s3.amazonaws.com/photos/321944304/medium.jpeg,,"",,1,0,false,2,"Modigliani fr. 25, 35020 Sant'Agostino PD, Italia",45.3757912839,11.8633920327,33,,,,33,,,false,,,Italy,Elicoverpa,Helicoverpa armigera,Cotton Bollworm Moth,Insecta,83806
184494248,79b60c2f-624e-4c4e-a60c-7e8061db62f3,2023/09/22 09:26,2023-09-22,2023-09-22 07:26:00 UTC,Rome,3952629,alessiopollastri,,2023-09-23 07:27:22 UTC,2023-09-26 12:55:05 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/184494248,https://inaturalist-open-data.s3.amazonaws.com/photos/322057644/medium.jpg,,"",,2,0,false,,"26100 Cremona CR, Italia",45.133249,10.0226511,3875,,,,3875,,,false,,,Italy,Elicoverpa,Helicoverpa armigera,Cotton Bollworm Moth,Insecta,83806
184499496,b13061e6-dfa0-4cf9-801d-ec8b4efef4df,2023-09-23 10:46:17,2023-09-23,2023-09-23 08:46:17 UTC,Rome,7439826,giada74886,Giada Maddinelli,2023-09-23 08:47:10 UTC,2023-09-24 22:05:13 UTC,research,,https://www.inaturalist.org/observations/184499496,https://static.inaturalist.org/photos/322067654/medium.jpeg,,"",,1,0,false,2,"35010 Carmignano di Brenta PD, Italia",45.6436655854,11.7125572779,19,,,,19,,,false,,,Italy,Elicoverpa,Helicoverpa armigera,Cotton Bollworm Moth,Insecta,83806
