id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
200093690,37801e90-1a26-43ef-9557-fec2160357ea,2024-02-22 16:26:59+01:00,2024-02-22,2024-02-22 15:26:59 UTC,Rome,6622265,double_shott,Daniele Iachetti,2024-02-22 15:31:04 UTC,2024-02-22 15:31:09 UTC,needs_id,,https://www.inaturalist.org/observations/200093690,https://static.inaturalist.org/photos/352963480/medium.jpg,,"","",0,0,false,3,"Via Ardeatina, Aprilia, Lazio, IT",41.6001383333,12.534955,35,,,,35,,,false,,,Italy,"",Plutella xylostella,Diamondback Moth,Insecta,126765
202271805,081c8b2e-3cf3-4df5-844f-0a0b0afd0c92,2024-03-13 14:15:59,2024-03-13,2024-03-13 13:15:59 UTC,Rome,2456442,stefano209,Stefano Lazzaretti,2024-03-13 13:17:48 UTC,2024-03-15 00:29:21 UTC,research,,https://www.inaturalist.org/observations/202271805,https://static.inaturalist.org/photos/357209818/medium.jpeg,,"",,1,0,false,2,"88050 Pentone CZ, Italia",38.9713325685,16.5828105435,8,,,,8,,,false,gps,gps,Italy,Tignola delle crucifere,Plutella xylostella,Diamondback Moth,Insecta,126765
202502887,b76f17d1-3ce5-4573-8141-6983b79b1473,2024-03-14 20:15:37,2024-03-14,2024-03-14 19:15:37 UTC,Rome,6258646,benedetta_baroni,"",2024-03-15 07:48:24 UTC,2024-04-01 12:34:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/202502887,https://inaturalist-open-data.s3.amazonaws.com/photos/357654236/medium.jpeg,,"",,3,0,false,2,"Vanchiglia, Torino TO, Italia",45.0728493552,7.6961635798,54,,,,54,,,false,gps,gps,Italy,Tignola delle crucifere,Plutella xylostella,Diamondback Moth,Insecta,126765
203078271,d32608e5-faeb-4b81-81e0-70e8c1c5b50e,2024-03-19 09:32:14,2024-03-19,2024-03-19 08:32:14 UTC,Rome,7451173,emanuelex2,Emanuele,2024-03-19 08:34:21 UTC,2025-04-05 08:05:04 UTC,research,,https://www.inaturalist.org/observations/203078271,https://static.inaturalist.org/photos/358753487/medium.jpeg,,"",,1,0,false,2,"93012 Gela CL, Italia",37.0772166667,14.2495583333,2,,,,2,,,false,,,Italy,Tignola delle crucifere,Plutella xylostella,Diamondback Moth,Insecta,126765
204393706,a0d5a5aa-eb67-4f48-9869-0a1fadf10830,2024-03-29 14:46:00,2024-03-29,2024-03-29 13:46:00 UTC,Rome,5551272,teuthis,Simone Meacci,2024-03-29 13:49:58 UTC,2024-03-29 17:09:33 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/204393706,https://inaturalist-open-data.s3.amazonaws.com/photos/361275040/medium.jpeg,,"",,1,0,false,2,"Val D'Ala, 00141 Roma RM, Italia",41.9405548807,12.5196749344,6,,,,6,,,false,gps,gps,Italy,Tignola delle crucifere,Plutella xylostella,Diamondback Moth,Insecta,126765
204412628,d0238113-8932-4603-a23f-4f5208d660b8,2024/03/29 14:37,2024-03-29,2024-03-29 13:37:00 UTC,Rome,7780152,pietro_melandri_birding,Pietro Melandri,2024-03-29 16:19:58 UTC,2024-03-29 17:03:30 UTC,research,CC0,https://www.inaturalist.org/observations/204412628,https://static.inaturalist.org/photos/361306024/medium.jpeg,,"","",1,0,false,,"Provincia di Ferrara, Italia",44.6532950643,12.1073205411,31,,,,31,,,false,,,Italy,Tignola delle crucifere,Plutella xylostella,Diamondback Moth,Insecta,126765
204600555,1ff94334-4a15-4a6c-a367-2dc193988034,2024/03/30 17:41,2024-03-30,2024-03-30 16:41:00 UTC,Rome,7651390,pier_francesco_murgia1,Pier Francesco Murgia,2024-03-30 19:01:12 UTC,2024-03-30 22:48:07 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/204600555,https://inaturalist-open-data.s3.amazonaws.com/photos/361649413/medium.jpeg,,"",,2,0,false,,"Città Metropolitana di Cagliari, Italia",39.2432720111,9.3047195879,8,,,,8,,,false,,,Italy,Tignola delle crucifere,Plutella xylostella,Diamondback Moth,Insecta,126765
204611576,b358bd22-200d-48dc-beaa-fc9d6f6320ca,2024-03-30 20:38:27,2024-03-30,2024-03-30 18:38:27 UTC,Rome,7780152,pietro_melandri_birding,Pietro Melandri,2024-03-30 19:58:10 UTC,2024-03-30 21:59:46 UTC,research,CC0,https://www.inaturalist.org/observations/204611576,https://static.inaturalist.org/photos/361682950/medium.jpeg,,"",,2,0,false,2,"15060 Rocchetta Ligure AL, Italia",44.707869445,9.0503428504,305,,,,305,,,false,gps,gps,Italy,Tignola delle crucifere,Plutella xylostella,Diamondback Moth,Insecta,126765
205098285,d2d66e9d-2346-4e88-9a32-ee16ea2df3f3,2024-04-02 16:16:56,2024-04-02,2024-04-02 14:16:56 UTC,Rome,744814,mirko_tomasi,Mirko Tomasi,2024-04-02 15:20:06 UTC,2024-04-09 10:46:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/205098285,https://inaturalist-open-data.s3.amazonaws.com/photos/362599741/medium.jpeg,,"",,2,0,false,2,"Aggregazione Rionale 4, Varese VA, Italia",45.8668603035,8.7997477502,154,,,,154,,,false,gps,gps,Italy,Tignola delle crucifere,Plutella xylostella,Diamondback Moth,Insecta,126765
205693713,c0369527-713d-4392-aed5-d0839d207ba6,2024-04-06 18:45:40,2024-04-06,2024-04-06 16:45:40 UTC,Rome,2750003,dariop9167,Dario Pozzan,2024-04-06 16:49:27 UTC,2024-04-06 17:29:27 UTC,research,,https://www.inaturalist.org/observations/205693713,https://static.inaturalist.org/photos/363731859/medium.jpeg,,"",,2,0,false,2,"10144 Torino TO, Italia",45.0856725648,7.6712938026,9,,,,9,,,false,gps,gps,Italy,Tignola delle crucifere,Plutella xylostella,Diamondback Moth,Insecta,126765
