id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
186337004,aa72c46e-1897-4c2c-8e30-18d47c7f0100,2023-10-05 21:44:55,2023-10-05,2023-10-05 19:44:55 UTC,Rome,4920939,enrico_carta,Enrico Carta,2023-10-05 22:06:09 UTC,2023-10-06 20:25:28 UTC,research,,https://www.inaturalist.org/observations/186337004,https://static.inaturalist.org/photos/325617039/medium.jpeg,,"",,2,0,false,2,"18039 Ventimiglia IM, Italia",43.7899883333,7.5950766667,9,,,,9,,,false,,,Italy,Spodoptera exigua,Spodoptera exigua,Beet Armyworm Moth,Insecta,231425
186981353,56a69940-932e-4cd9-9142-e6816c4c0a7d,2023/10/04 19:53,2023-10-04,2023-10-04 17:53:00 UTC,Rome,4734067,robertobozzo,Roberto Bozzo,2023-10-10 12:08:11 UTC,2023-10-10 19:01:07 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/186981353,https://inaturalist-open-data.s3.amazonaws.com/photos/326888801/medium.jpeg,,"","",1,0,false,,"Provincia di Lecce, Italia",39.8329650468,18.286933249,2,,,,2,,,false,,,Italy,Spodoptera exigua,Spodoptera exigua,Beet Armyworm Moth,Insecta,231425
186995171,794c2c96-f973-4408-93a1-58e5787ed8f3,2023/10/08 ,2023-10-08,,Rome,1397840,apiccinini,Andrea Piccinini,2023-10-10 14:34:02 UTC,2023-10-10 18:56:53 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/186995171,https://inaturalist-open-data.s3.amazonaws.com/photos/326915600/medium.jpeg,,"",,1,0,false,,"48123 Marina Romea RA, Italia",44.5203335912,12.2721488089,15,,,,15,,,false,,,Italy,Spodoptera exigua,Spodoptera exigua,Beet Armyworm Moth,Insecta,231425
187028463,ad754da3-4ee0-46f2-8e8f-c27565936d2d,2023-10-10 21:03:47,2023-10-10,2023-10-10 19:03:47 UTC,Rome,392309,bac_77,Marco Crivellari,2023-10-10 19:16:35 UTC,2023-10-11 08:53:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/187028463,https://inaturalist-open-data.s3.amazonaws.com/photos/326983621/medium.jpeg,,"",,2,0,false,2,"Mesola Ferrara, Italia",44.8833885192,12.2323617933,,,,,,,,false,gps,gps,Italy,Beet Armyworm Moth,Spodoptera exigua,Beet Armyworm Moth,Insecta,231425
187103281,c69640fa-5dda-461f-8241-43657dea2c93,2023/10/11 01:04,2023-10-11,2023-10-10 23:04:00 UTC,Rome,1609913,giuseppe_molinari,Giuseppe Molinari,2023-10-11 10:38:56 UTC,2023-10-24 08:06:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/187103281,https://inaturalist-open-data.s3.amazonaws.com/photos/327134147/medium.jpg,,"",,2,0,false,,"Provincia di Forlì-Cesena, Italia",44.0590950153,11.9439111513,2,,,,2,,,false,,,Italy,Spodoptera exigua,Spodoptera exigua,Beet Armyworm Moth,Insecta,231425
187347584,a0a0f237-ae5d-4d29-b942-b5e8e126e253,2023/10/09 11:45 AM,2023-10-09,2023-10-09 09:45:00 UTC,Rome,45933,micder,Michele De Rocco,2023-10-13 09:50:17 UTC,2023-10-14 07:28:28 UTC,research,,https://www.inaturalist.org/observations/187347584,https://static.inaturalist.org/photos/327613341/medium.jpg,,"",,1,0,false,,"Provincia di Belluno, Italia",45.8830046557,11.8624481634,80,,,,80,,,false,,,Italy,Spodoptera exigua,Spodoptera exigua,Beet Armyworm Moth,Insecta,231425
187818661,652b48c8-9eb7-4873-8770-85547125a51f,2023-10-16 21:27:01,2023-10-16,2023-10-16 19:27:01 UTC,Rome,392309,bac_77,Marco Crivellari,2023-10-16 20:11:13 UTC,2023-10-16 21:11:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/187818661,https://inaturalist-open-data.s3.amazonaws.com/photos/328548683/medium.jpeg,,"",,1,0,false,2,"Mesola Ferrara, Italia",44.8834266661,12.2322463989,,,,,,,,false,gps,gps,Italy,Beet Armyworm Moth,Spodoptera exigua,Beet Armyworm Moth,Insecta,231425
188151032,61f031ff-5ca1-4114-baa1-73619e691c6e,2023/10/13 ,2023-10-13,,Rome,5246039,einheit21,Jörg und Ines,2023-10-19 15:52:27 UTC,2023-10-24 04:44:25 UTC,research,,https://www.inaturalist.org/observations/188151032,https://static.inaturalist.org/photos/329218218/medium.jpeg,,"",,2,0,false,,"Via della Bastianella, 55041 Pedona LU, Italien",43.919472,10.2934114,184,,,,184,,,false,,,Italy,Orangefleck-Seidenglanzeule,Spodoptera exigua,Beet Armyworm Moth,Insecta,231425
188158991,2264b343-7ff2-487c-9a06-1529ecb2416c,2023/10/19 4:09 PM,2023-10-19,2023-10-19 14:09:00 UTC,Rome,6871422,rhegmatorhina,,2023-10-19 17:09:15 UTC,2023-10-19 18:18:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/188158991,https://inaturalist-open-data.s3.amazonaws.com/photos/329234140/medium.jpeg,,"",,1,0,false,,Linosa,35.8722909055,12.8631527609,15,,,,15,,,false,,,Italy,Beet Armyworm Moth,Spodoptera exigua,Beet Armyworm Moth,Insecta,231425
188164056,3cb10dcb-4984-4f86-8299-63a8db578631,2023/10/14 ,2023-10-14,,Rome,5246039,einheit21,Jörg und Ines,2023-10-19 17:57:13 UTC,2023-10-19 18:04:11 UTC,research,,https://www.inaturalist.org/observations/188164056,https://static.inaturalist.org/photos/329243435/medium.jpeg,,"",,1,0,false,,"Via della Bastianella, 55041 Pedona LU, Italien",43.919472,10.2934114,184,,,,184,,,false,,,Italy,Orangefleck-Seidenglanzeule,Spodoptera exigua,Beet Armyworm Moth,Insecta,231425
188180132,a04d284a-17f6-4443-89d9-0ba1b515a7b0,2023/10/14 ,2023-10-14,,Rome,5246039,einheit21,Jörg und Ines,2023-10-19 20:07:07 UTC,2023-10-24 04:41:30 UTC,research,,https://www.inaturalist.org/observations/188180132,https://static.inaturalist.org/photos/329276156/medium.jpeg,,"",,2,0,false,,"Via della Bastianella, 55041 Pedona LU, Italien",43.919472,10.2934114,184,,,,184,,,false,,,Italy,Orangefleck-Seidenglanzeule,Spodoptera exigua,Beet Armyworm Moth,Insecta,231425
188181523,f51d5d8c-7d9e-4871-bd2d-6b9e2fbc99ca,2023/10/14 ,2023-10-14,,Rome,5246039,einheit21,Jörg und Ines,2023-10-19 20:19:41 UTC,2023-10-24 04:41:28 UTC,research,,https://www.inaturalist.org/observations/188181523,https://static.inaturalist.org/photos/329279372/medium.jpeg,,"",,2,0,false,,"Via della Bastianella, 55041 Pedona LU, Italien",43.919472,10.2934114,184,,,,184,,,false,,,Italy,Orangefleck-Seidenglanzeule,Spodoptera exigua,Beet Armyworm Moth,Insecta,231425
188184280,994d1a2d-706d-4d00-97ed-d68f0cb4fda7,2023/10/15 ,2023-10-15,,Rome,5246039,einheit21,Jörg und Ines,2023-10-19 20:42:12 UTC,2023-10-24 04:41:12 UTC,research,,https://www.inaturalist.org/observations/188184280,https://static.inaturalist.org/photos/329285269/medium.jpeg,,"","",2,0,false,,"Via della Bastianella, 55041 Pedona LU, Italien",43.919472,10.2934114,184,,,,184,,,false,,,Italy,Orangefleck-Seidenglanzeule,Spodoptera exigua,Beet Armyworm Moth,Insecta,231425
188289812,6714c076-ede3-4c4a-83de-f6f755894c33,2023/10/15 ,2023-10-15,,Rome,5246039,einheit21,Jörg und Ines,2023-10-20 19:12:50 UTC,2023-10-24 04:24:36 UTC,research,,https://www.inaturalist.org/observations/188289812,https://static.inaturalist.org/photos/329505896/medium.jpeg,,"","",2,0,false,,"Via della Bastianella, 55041 Pedona LU, Italien",43.919472,10.2934114,184,,,,184,,,false,,,Italy,Orangefleck-Seidenglanzeule,Spodoptera exigua,Beet Armyworm Moth,Insecta,231425
