id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
185151659,cc8e4410-07d1-4997-ad77-8a3cc19fda09,2023-09-27 13:47:29,2023-09-27,2023-09-27 11:47:29 UTC,Rome,5493206,mircogruppi,"",2023-09-27 15:37:38 UTC,2024-03-07 20:18:16 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/185151659,https://inaturalist-open-data.s3.amazonaws.com/photos/323316074/medium.jpeg,,"<100it, Roba su piante",,0,0,false,2,"40126 Bologna BO, Italia",44.500675,11.3543083333,,,,,,,,false,gps,gps,Italy,Aleurocanthus,Aleurocanthus,,Insecta,514347
186288644,9873892f-48d4-4575-8fcd-f16a2e4cfb3e,2023-10-05 13:06:16,2023-10-05,2023-10-05 11:06:16 UTC,Rome,5493206,mircogruppi,"",2023-10-05 15:11:11 UTC,2024-03-07 20:18:10 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/186288644,https://inaturalist-open-data.s3.amazonaws.com/photos/325523374/medium.jpeg,,"<100it, Roba su piante","",0,0,false,2,modena,44.653897,10.898884,813,,,,813,,,false,gps,gps,Italy,Aleurocanthus,Aleurocanthus,,Insecta,514347
186288731,5567898b-a4c8-47ef-ba9d-c117b55f1f75,2023-10-05 14:22:35,2023-10-05,2023-10-05 12:22:35 UTC,Rome,5493206,mircogruppi,"",2023-10-05 15:11:40 UTC,2024-02-12 23:22:29 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/186288731,https://inaturalist-open-data.s3.amazonaws.com/photos/325523471/medium.jpeg,,Roba su piante,"",2,0,false,2,modena,44.654301,10.899879,860,,,,860,,,false,,,Italy,Mosche bianche,Aleyrodidae,Whiteflies,Insecta,154784
186288793,3daf576c-5a5b-46ab-b104-8f0aaf05e9f2,2023-10-05 14:23:12,2023-10-05,2023-10-05 12:23:12 UTC,Rome,5493206,mircogruppi,"",2023-10-05 15:11:50 UTC,2024-02-12 23:22:23 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/186288793,https://inaturalist-open-data.s3.amazonaws.com/photos/325523495/medium.jpeg,,Roba su piante,"",0,0,false,2,modena,44.654621,10.900771,990,,,,990,,,false,,,Italy,Mosche bianche,Aleyrodidae,Whiteflies,Insecta,154784
186288885,320e3e02-9943-4bd5-8ec4-f81bf3667a9b,2023-10-05 14:28:52,2023-10-05,2023-10-05 12:28:52 UTC,Rome,5493206,mircogruppi,"",2023-10-05 15:12:08 UTC,2024-03-07 20:18:04 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/186288885,https://inaturalist-open-data.s3.amazonaws.com/photos/325523548/medium.jpeg,,"<100it, Roba su piante","",0,0,false,2,modena,44.653386,10.89825,943,,,,943,,,false,gps,gps,Italy,Aleurocanthus,Aleurocanthus,,Insecta,514347
187267315,b9191b0f-7003-4861-9dc9-0f7e62b11f47,2023-10-12 19:11:20,2023-10-12,2023-10-12 17:11:20 UTC,Rome,3190289,matteo234,Matteo Scardoni,2023-10-12 17:36:39 UTC,2023-10-19 05:46:00 UTC,needs_id,,https://www.inaturalist.org/observations/187267315,https://static.inaturalist.org/photos/329137125/medium.jpeg,,"",Su salvia,0,0,false,2,"Piazzetta Portichetti A, 37123 Verona VR, Italia",45.4417700038,10.9826508164,112,,,,112,,,false,gps,gps,Italy,Bemisia,Bemisia,,Insecta,199416
187666384,8e24fff5-682c-4c2f-b2f4-358678fde59f,2023-10-15 13:50:40,2023-10-15,2023-10-15 11:50:40 UTC,Rome,5518820,luciogiuniobruto,Francisilmuloparlante,2023-10-15 18:21:39 UTC,2023-10-19 05:03:15 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/187666384,https://inaturalist-open-data.s3.amazonaws.com/photos/328246620/medium.jpeg,,"",,0,0,false,2,"84050 Magliano Vetere, SA, Italy",40.3414998051,15.267546773,8,,,,8,,,false,gps,gps,Italy,Aleyrodinae,Aleyrodinae,,Insecta,576378
188635122,1023e980-8eec-46b5-b51c-25b8054254c4,2023/10/22 ,2023-10-22,,Rome,6393155,brunoparisotto,,2023-10-23 07:13:22 UTC,2023-10-29 11:23:39 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/188635122,https://inaturalist-open-data.s3.amazonaws.com/photos/330215604/medium.jpeg,,"","Aleyrodidae, famiglia (Mosche bianche)-Arthropoda-Hexapoda-Insecta-Pterygota-Hemiptera_Sternorrhyncha-Aleyrodoidea-Aleyrodidae_Aleyrodinae",0,0,false,,"58100 Grosseto GR, Italia",42.7755283376,11.0938239713,557,,,,557,,,false,,,Italy,Aleurocanthus spiniferus,Aleyrodidae,Whiteflies,Insecta,154784
188782608,7b69b59e-fe4f-4190-b9df-bf7438fa0326,2023/10/15 12:20 PM,2023-10-15,2023-10-15 10:20:00 UTC,Rome,1290751,esant,Emanuele Santarelli,2023-10-24 14:20:01 UTC,2023-10-24 14:24:28 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/188782608,https://inaturalist-open-data.s3.amazonaws.com/photos/330517985/medium.jpg,,"",On *Ficus carica*,0,0,false,,"67100 Bazzano, Province of L'Aquila, Italy",42.3368573,13.4535251,232,,,,232,,,false,,,Italy,Aleyrodidae,Aleyrodidae,Whiteflies,Insecta,154784
189941580,798099ee-930c-4d1f-9044-ee88a8c5d0aa,2023-11-04 12:18:00+01:00,2023-11-04,2023-11-04 11:18:00 UTC,Rome,6610816,vochomurka,Klara Vidimova,2023-11-04 11:20:34 UTC,2023-11-04 21:21:55 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/189941580,https://inaturalist-open-data.s3.amazonaws.com/photos/332861390/medium.jpg,,"","",2,0,false,3,"Via Simone Elia, Ranica, Lombardie, IT",45.7255616667,9.71377,5,,,,5,,,false,,,Italy,Aleyrodidae,Aleyrodidae,Whiteflies,Insecta,154784
